track_id,track_name,track_artist,track_popularity,track_album_release_date,playlist_name,playlist_id,danceability,energy,valence
1f23zyzsTfwbj4z87FFXoE,Chalo Dildar Cholo,Ghulam Mohammed,6,1977-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.349,0.536,0.849
1W38PerB8xfJLYQ1da3y15,Dil tadap tadap ke,Mukesh,0,2011-05-11,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.632,0.45,0.966
7mLX4f55VbAPMWl0jJg6MZ,Puchho Na Yaar Kya Hua - Zamaane Ko Dikhana Hai / soundtrack Version,Various Artists,0,1981,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.556,0.489,0.702
03InC6qJcDS4zJdRVgxrVB,"Bechara Dil Kya Kare - From ""Khushboo""",R. D. Burman,0,2016-06-20,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.458,0.281,0.751
6piaUZ902sp5Qm2n1CxGzU,"Dil Kya Kare - From ""Julie""",Kishore Kumar,28,2012-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.426,0.578,0.46
6RvsORy8pptAzywuGoSna5,Dekha Ek Khwab,Shiv Hari,0,1981-05-18,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.415,0.349,0.347
5cjwMtWieH57DwbWVBhHCe,Hansta Hua Noorani Chehra,Laxmikant–Pyarelal,28,2013-11-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.475,0.58,0.813
5cYRucvgSLupLFzYkOqgPF,"Sajan Re Jhoot Mat Bolo - From ""Teesri Kasam""",Mukesh,0,2017-04-25,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.368,0.431,0.946
5d6W1pdS9LCapYiKKaUIcr,Ude Jab Jab Zulfe Teri,Various Artists,0,2012-04-10,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.492,0.693,0.965
02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,Kalyanji-Anandji,69,1983-06-10,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.562,0.696,0.722
03FprOEWxZv5KIdrHHtAD5,"Bahon Mein Chale Aao (From ""Anamika"")",Lata Mangeshkar,25,2018-02-28,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.482,0.212,0.615
4mvkokOAbfjx2J2TVgwVtf,Aaja Sanam Madhur Chandni Men,Shankar Jaikishan,42,1957-08-28,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.451,0.441,0.811
1Knb9LvE9jMf7q26rcPWaE,Beqarar Karke Hamen Yun Na Jaiye,Hemant Kumar,39,1961-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.671,0.446,0.747
7nbsgTbBCkHv6X1CaDIzV3,Kabhi Aar Kabhi Paar,O. P. Nayyar,22,1954-12-31,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.67,0.753,0.906
4e7yGjCCDy5bh7EyM7JQSV,Leke Pahla Pahla Pyar,O. P. Nayyar,21,1956-12-30,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.627,0.538,0.925
3PabYvaXPUp0oDNb9DrvRn,Udhar Tum Hasin Ho,O. P. Nayyar,6,1955-12-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.402,0.423,0.747
1GjSGgT0KfcsUzIQKx246t,Sote Sote Aadhi Raat,Sapan Jagmohan,14,1983-01-01,Hindi 60s-70s,7xhJAbAgeZnLy1XeoAhrxh,0.522,0.747,0.85
6Kld4dUHU3Yh1zNjZJenEb,Fixing a Broken Heart - Solo Version,Indecent Obsession,63,1993,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.404,0.377,0.349
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,Bryan Adams,81,1984-11-05,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.382,0.589,0.335
54RYErRBNUQ32jvtwVYFwM,Heaven Knows,Rick Price,62,1992-01-01,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.461,0.301,0.188
4C8qZRxrteBY9F8r2oZrV3,You're All I Need,White Lion,61,1991-03-26,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.506,0.539,0.208
7dQC53NiYOY9gKg3Qsu2Bs,All Out of Love,Air Supply,75,1980-02-25,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.513,0.262,0.357
75UoXjRBibZdgsBdXxSpd1,King and Queen of Hearts,David Pomeranz,44,2006-09-26,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.514,0.452,0.213
0rKPoDE9Bm4OcZeyHrHZnV,Just Once - New Version,James Ingram,66,1999-04-12,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.622,0.49,0.324
5V5eCLSxm7JWLj9vOcNLIw,Valentine,Jim Brickman,45,1994,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.523,0.26,0.164
4c8jWog32ctnWEuonvOy7j,Can't Cry Hard Enough,The Williams Brothers,57,1991-04-26,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.444,0.199,0.32
1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,Extreme,78,1990-01-01,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.626,0.134,0.239
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,Richard Marx,78,1989-01-01,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.395,0.252,0.126
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,73,2018-02-02,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.388,0.72,0.554
23IWhAK0cYRwnBT5EE8i3u,Don't give up on us,David Soul,65,1976-01-01,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.256,0.335,0.415
7nlDAJZuqDpNx7fRcN6Vgy,Got To Believe In Magic,David Pomeranz,42,2006-09-26,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.499,0.486,0.304
3HLgjHYaEhKFvV4SSvI9Te,Love Will Lead You Back,Taylor Dayne,63,1989-10-07,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.547,0.513,0.2
3PzRorFjaBKjYaIXFKxvMK,I'll Always Love You,Michael Johnson,0,1997-08-15,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.489,0.102,0.23
57DRDn3OKZyKQniRNAjYIQ,Til Death Do Us Part,White Lion,55,1991-03-26,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.493,0.476,0.149
